city,lat,lng,IS_DUPLICATE,TOWNS
Nairobi,-1.2864,36.8172,1,NAIROBI
Mombasa,-4.05,39.6667,1,MOMBASA
Nakuru,-0.3,36.0667,1,NAKURU
Eldoret,0.5167,35.2833,1,ELDORET
Kisumu,-0.0833,34.7667,1,KISUMU
Kikuyu,-1.25,36.6667,1,KIKUYU
Lunga-Lunga,-4.555,39.1231,1,LUNGALUNGA
Habaswein,1.01,39.49,1,HABASWEIN
Ongata Rongai,-1.4,36.77,1,ONGATA RONGAI
Garissa,-0.4569,39.6583,1,GARISSA
Molo,-0.25,35.7333,1,MOLO
Kitengela,-1.5167,36.85,1,KITENGELA
Kiambu,-1.1667,36.8167,1,KIAMBU
Ramu,3.9375,41.2203,1,RAMU
Kilifi,-3.6333,39.85,1,KILIFI
Malindi,-3.2236,40.13,1,MALINDI
Vihiga,0.05,34.725,1,VIHIGA
Machakos,-1.5167,37.2667,1,MACHAKOS
Kisii,-0.6833,34.7667,1,KISII
Ngong,-1.3667,36.6333,1,NGONG
Mumias,0.3333,34.4833,1,MUMIAS
Thika,-1.0396,37.09,1,THIKA
Nyeri,-0.4167,36.95,1,NYERI
Kakamega,0.2822,34.754,1,KAKAMEGA
Wajir,1.75,40.05,1,WAJIR
Ukunda,-4.2875,39.5661,1,UKUNDA
Nandi Hills,0.1003,35.1764,1,NANDI HILLS
Narok,-1.0833,35.8667,1,NAROK
Embu,-0.5389,37.4583,1,EMBU
Kitale,1.0167,35.0,1,KITALE
Wundanyi,-3.3983,38.3603,1,WUNDANYI
El Wak,2.8028,40.9275,1,EL WAK
Wote,-1.7833,37.6333,1,WOTE
Kimilili,0.7833,34.7167,1,KIMILILI
Bungoma,0.5667,34.5667,1,BUNGOMA
Isiolo,0.35,37.5833,1,ISIOLO
Meru,0.05,37.65,1,MERU
Webuye,0.6167,34.7667,1,WEBUYE
Iten,0.6731,35.5083,1,ITEN
Homa Bay,-0.5167,34.45,1,HOMA BAY
Rumuruti,0.26,36.5363,1,RUMURUTI
Maralal,1.1,36.7,1,MARALAL
Busia,0.4633,34.1053,1,BUSIA
Mandera,3.9167,41.8333,1,MANDERA
Kericho,-0.3692,35.2839,1,KERICHO
Kitui,-1.3667,38.0167,1,KITUI
Lamu,-2.2694,40.9022,1,LAMU
Kajiado,-1.85,36.7833,1,KAJIADO
Kapsabet,0.3333,35.1667,1,KAPSABET
Marsabit,2.3333,37.9833,1,MARSABIT
Lodwar,3.1167,35.6,1,LODWAR
Kerugoya,-0.5,37.2833,1,KERUGOYA
Kwale,-4.1744,39.4603,1,KWALE
Hola,-1.5,40.0333,1,HOLA
Mwatate,-3.5047,38.3778,1,MWATATE
Kabarnet,0.494,35.744,1,KABARNET
Migori,-1.0634,34.4731,1,MIGORI
Nyamira,-0.521,34.914,1,NYAMIRA
Sotik Post,-0.7813,35.3416,1,SOTIK POST
Murang誕,-0.7167,37.15,1,MURANG誕
Siaya,0.0667,34.2833,1,SIAYA
Kapenguria,1.2333,35.1167,1,KAPENGURIA
Ol Kalou,-0.273,36.378,1,OL KALOU

