NAME,LATDD,LONGDD,IS_DUPLICATE,VILLA
ABABULE,0.95,39.78,1,ABABULE
ABACHULA,-0.6,39.53,1,ABACHULA
ABADARANT,1.53,40.53,1,ABADARANT
ABAFAYO MELKA,1.2,38.97,1,ABAFAYO MELKA
ABAGERANSO,1.75,40.32,1,ABAGERANSO
ABAHAMA,-0.82,39.87,1,ABAHAMA
ABAHIRINGERASUBLOCATION,-1.18,34.57,1,ABAHIRINGERASUBLOCATION
ABACHULA,-0.53,39.05,2,ABACHULA
ABACHULA,-0.53,39.05,3,ABACHULA
ABAKDER,1.03,40.27,1,ABAKDER
ABAKDERA,-0.52,39.85,1,ABAKDERA
ABAKFIN,1.73,40.65,1,ABAKFIN
ABAKUNO,-1.87,39.45,1,ABAKUNO
ABALO,3.12,38.88,1,ABALO
ABAMAGADO,1.52,38.02,1,ABAMAGADO
ABAMAGADO,1.52,38.02,2,ABAMAGADO
ABARAGA NAMBALA,0.32,38.43,1,ABARAGA NAMBALA
ABARAGA NAMBALA,0.32,38.43,2,ABARAGA NAMBALA
ABAROT,-0.58,39.75,1,ABAROT
ABAROT,-0.58,39.75,2,ABAROT
ABARAT,-0.57,39.72,1,ABARAT
ABARAT,-0.57,39.72,2,ABARAT
ABASULA,-1.93,38.92,1,ABASULA
ABDURRAHMAN EL,2.88,40.05,1,ABDURRAHMAN EL
ABDURRAHMAN EL,2.88,40.05,2,ABDURRAHMAN EL
ABDURRAHMAN EL,2.88,40.05,3,ABDURRAHMAN EL
ABENDERA MORU,3.7,34.47,1,ABENDERA MORU
ABENYO EMURU,1.6,36.62,1,ABENYO EMURU
ABERDAREESTATES,-0.13,36.48,1,ABERDAREESTATES
ABERDAREFOREST,0.13,36.43,1,ABERDAREFOREST
ABERDAREFOREST,-0.05,36.07,2,ABERDAREFOREST
ABERDAREFOREST,-0.05,36.07,3,ABERDAREFOREST
ABERDAREFOREST,-0.05,36.07,4,ABERDAREFOREST
ABERDARENATIONALPARK,-0.42,36.07,1,ABERDARENATIONALPARK
ABERDARENATIONALPARK,-0.42,36.07,2,ABERDARENATIONALPARK
ABERDARENATIONALPARK,-0.42,36.07,3,ABERDARENATIONALPARK
ABERDAREMOUNTAINS,-0.42,36.63,1,ABERDAREMOUNTAINS
ABERDAREMOUNTAINS,-0.42,36.63,2,ABERDAREMOUNTAINS
ABERDAREMOUNTAINS,-0.42,36.63,3,ABERDAREMOUNTAINS
ABERDAREMOUNTAINS,-0.42,36.63,4,ABERDAREMOUNTAINS
ABERIT,1.08,35.4,1,ABERIT
ABIDIDAN MELKA,1.05,39.35,1,ABIDIDAN MELKA
ABIERO,-0.18,34.25,1,ABIERO
ABIERO,-0.18,34.25,2,ABIERO
ABILIAGITUK,2.42,36.6,1,ABILIAGITUK
ABLA,4.1,40.45,1,ABLA
ABOBOKA,-2.07,38.98,1,ABOBOKA
ABOGETA,-0.12,37.63,1,ABOGETA
ABOM,-0.03,34.35,1,ABOM
ABOMSUBLOCATION,-0.07,34.03,1,ABOMSUBLOCATION
ABORA,-3.25,38.57,1,ABORA
ABORE,0.53,39.08,1,ABORE
ABOS,-0.9,35.08,1,ABOS
ABOS,-0.9,35.08,2,ABOS
ABOS,-0.9,35.08,3,ABOS
ABOSI,-0.9,35.07,1,ABOSI
ABOTHUGUCHIUPPER,0.02,37.58,1,ABOTHUGUCHIUPPER
ABRAHAMSCAMP,1.82,35.42,1,ABRAHAMSCAMP
ABSEGE,-0.55,35.72,1,ABSEGE
ABULO,3.08,40.6,1,ABULO
ABUNDU,-0.37,34.05,1,ABUNDU
ABURADAM,0.08,34.3,1,ABURADAM
ABURRYO,0.68,35.68,1,ABURRYO
ABURUTIN,0.85,36.2,1,ABURUTIN
ABWAW,-1.03,34.37,1,ABWAW
ABYSSINIANCAMP,-3.15,37.88,1,ABYSSINIANCAMP
ABYSSINIANROAD,-3.22,37.85,1,ABYSSINIANROAD
