AREA,PERIMETER,KENYAVIL_,KENYAVIL_I,NAME,COUNTRY,THEME,ADMINCODE,LONGDD,LATDD
0.0,0.0,1,-2241375,ABABULE,KE,WTRH,6.0,39.78,0.95
0.0,0.0,2,-2241376,ABACHULA,KE,WTRH,2.0,39.53,-0.6
0.0,0.0,3,-2241377,ABADARANT,KE,AREA,6.0,40.53,1.53
0.0,0.0,4,-2241378,ABAFAYO MELKA,KE,WTRH,3.0,38.97,1.2
0.0,0.0,5,-2241379,ABAGERANSO,KE,WTRH,6.0,40.32,1.75
0.0,0.0,6,-2241380,ABAHAMA,KE,AREA,2.0,39.87,-0.82
0.0,0.0,7,-2241381,ABAHIRINGERASUBLOCATION,KE,ADMD,7.0,34.57,-1.18
0.0,0.0,8,-2241382,ABACHULA,KE,WTRH,2.0,39.05,-0.53
0.0,0.0,9,-2241382,ABACHULA,KE,WTRH,2.0,39.05,-0.53
0.0,0.0,10,-2241383,ABAKDER,KE,WTRH,6.0,40.27,1.03
0.0,0.0,11,-2241384,ABAKDERA,KE,AREA,6.0,39.85,-0.52
0.0,0.0,12,-2241385,ABAKFIN,KE,WTRH,6.0,40.65,1.73
0.0,0.0,13,-2241386,ABAKUNO,KE,WTRH,2.0,39.45,-1.87
0.0,0.0,14,-2241387,ABALO,KE,HLL,3.0,38.88,3.12
0.0,0.0,15,-2241388,ABAMAGADO,KE,AREA,3.0,38.02,1.52
0.0,0.0,16,-2241389,ABAMAGADO,KE,HLL,3.0,38.02,1.52
0.0,0.0,17,-2241390,ABARAGA NAMBALA,KE,WTRH,3.0,38.43,0.32
0.0,0.0,18,-2241390,ABARAGA NAMBALA,KE,WTRH,3.0,38.43,0.32
0.0,0.0,19,-2241391,ABAROT,KE,AREA,2.0,39.75,-0.58
0.0,0.0,20,-2241391,ABAROT,KE,AREA,2.0,39.75,-0.58
0.0,0.0,21,-2241392,ABARAT,KE,PPL,2.0,39.72,-0.57
0.0,0.0,22,-2241392,ABARAT,KE,PPL,2.0,39.72,-0.57
0.0,0.0,23,-2241393,ABASULA,KE,WTRH,3.0,38.92,-1.93
0.0,0.0,26,-2241395,ABDURRAHMAN EL,KE,WLL,6.0,40.05,2.88
0.0,0.0,27,-2241395,ABDURRAHMAN EL,KE,WLL,6.0,40.05,2.88
0.0,0.0,28,-2241395,ABDURRAHMAN EL,KE,WLL,6.0,40.05,2.88
0.0,0.0,29,-2241396,ABENDERA MORU,KE,HLL,8.0,34.47,3.7
0.0,0.0,30,-2241397,ABENYO EMURU,KE,HLL,8.0,36.62,1.6
0.0,0.0,31,-2241398,ABERDAREESTATES,KE,EST,1.0,36.48,-0.13
0.0,0.0,32,-2241399,ABERDAREFOREST,KE,FRST,1.0,36.43,0.13
0.0,0.0,33,-2241400,ABERDAREFOREST,KE,FRST,1.0,36.07,-0.05
0.0,0.0,34,-2241400,ABERDAREFOREST,KE,FRST,1.0,36.07,-0.05
0.0,0.0,35,-2241400,ABERDAREFOREST,KE,FRST,1.0,36.07,-0.05
0.0,0.0,36,-2241401,ABERDARENATIONALPARK,KE,PRK,1.0,36.07,-0.42
0.0,0.0,37,-2241401,ABERDARENATIONALPARK,KE,PRK,1.0,36.07,-0.42
0.0,0.0,38,-2241401,ABERDARENATIONALPARK,KE,PRK,1.0,36.07,-0.42
0.0,0.0,39,-2241402,ABERDAREMOUNTAINS,KE,MTS,1.0,36.63,-0.42
